Event_ID,Region,Region_source,Burst_Duration_in_min,Burst_Loading,Original_Burst_Depth_in_mm,AEP_Window,AEP_source_in_perc,Burst_Start_Date,Burst_End_Date,DB_Event_Reference_Number,DB_Pluviograph_Reference_Number,Offical_Gauge,Lat,Long
4423,East Coast (South),East Coast (South),15,2,23.5,frequent,14.5786,2007-12-06 07:10:00,2007-12-06 07:20:00,114345,1841,qcd_566020_233,-33.9005,151.0879
4424,East Coast (South),East Coast (South),15,2,21.0,frequent,14.6254,1999-11-08 14:50:00,1999-11-08 15:00:00,119756,1933,qcd_568130_233,-34.059,150.6809
4425,East Coast (South),East Coast (South),15,3,26.0,frequent,14.8113,1984-11-11 18:15:00,1984-11-11 18:25:00,115463,1855,qcd_566055_233,-33.7067,151.107
4426,East Coast (South),East Coast (South),15,3,26.15,frequent,15.7415,1984-02-15 12:55:00,1984-02-15 13:05:00,42048,543,qcd_066062,-33.8607,151.205
4381,East Coast (South),East Coast (South),15,1,20.0,intermediate,12.831,2009-03-25 17:45:00,2009-03-25 17:55:00,113650,1828,qcd_563064_233,-32.2375,150.6306
4408,East Coast (South),East Coast (South),15,1,26.5,intermediate,12.2861,1998-02-15 17:40:00,1998-02-15 17:50:00,117026,1885,qcd_567102_233,-33.6969,151.0277
4409,East Coast (South),East Coast (South),15,1,30.0,intermediate,9.975,2007-12-04 23:35:00,2007-12-04 23:45:00,61225,963,qcd_204001_77,-29.9793,152.725
4410,East Coast (South),East Coast (South),15,2,28.5,intermediate,3.9471,2007-02-28 13:50:00,2007-02-28 14:00:00,120264,1940,qcd_568147_233,-34.0996,150.6981
4411,East Coast (South),East Coast (South),15,2,35.22,intermediate,5.8797,1980-12-05 04:55:00,1980-12-05 05:05:00,39479,514,qcd_061223,-32.9131,151.75
4412,East Coast (South),East Coast (South),15,2,25.0,intermediate,9.3495,2004-04-04 14:35:00,2004-04-04 14:45:00,114700,1846,qcd_566036_233,-33.8893,151.0368
4413,East Coast (South),East Coast (South),15,2,38.58,intermediate,3.9998,1991-12-22 14:30:00,1991-12-22 14:40:00,38495,502,qcd_061078,-32.7932,151.8359
4414,East Coast (South),East Coast (South),15,2,23.47,intermediate,6.0127,1977-02-24 16:25:00,1977-02-24 16:35:00,40436,525,qcd_062005,-32.0051,149.9815
4415,East Coast (South),East Coast (South),15,3,22.36,intermediate,11.6619,1973-03-21 20:20:00,1973-03-21 20:30:00,39694,516,qcd_061240,-32.9667,151.1333
4416,East Coast (South),East Coast (South),15,3,33.5,intermediate,3.2636,1993-02-17 09:10:00,1993-02-17 09:20:00,115578,1857,qcd_566065_233,-33.8773,151.1673
4358,East Coast (South),East Coast (South),15,2,36.15,rare,0.4298,2007-02-19 15:45:00,2007-02-19 15:55:00,120662,1946,qcd_568163_231,-34.4261,150.1903
4392,East Coast (South),East Coast (South),15,1,34.5,rare,2.7085,1989-04-21 22:10:00,1989-04-21 22:20:00,115570,1857,qcd_566065_233,-33.8773,151.1673
4393,East Coast (South),East Coast (South),15,1,35.0,rare,1.9503,1989-12-05 03:40:00,1989-12-05 03:50:00,114882,1847,qcd_566037_233,-33.8085,151.0907
4396,East Coast (South),East Coast (South),15,1,40.5,rare,1.6461,1989-01-06 14:40:00,1989-01-06 14:50:00,114601,1845,qcd_566032_233,-33.887,151.2253
4397,East Coast (South),East Coast (South),15,2,50.5,rare,0.2955,1991-01-21 15:30:00,1991-01-21 15:40:00,117021,1885,qcd_567102_233,-33.6969,151.0277
4398,East Coast (South),East Coast (South),15,2,29.15,rare,1.9841,2007-01-17 14:40:00,2007-01-17 14:50:00,120661,1946,qcd_568163_231,-34.4261,150.1903
4400,East Coast (South),East Coast (South),15,2,32.0,rare,2.4768,2007-02-24 17:35:00,2007-02-24 17:45:00,120505,1943,qcd_568156_233,-34.0482,150.73
4401,East Coast (South),East Coast (South),15,2,32.75,rare,2.7058,1988-11-27 10:55:00,1988-11-27 11:05:00,112004,1808,qcd_563035_231,-33.9758,150.3811
4403,East Coast (South),East Coast (South),15,3,107.5,rare,0.0048,1996-11-23 20:35:00,1996-11-23 20:45:00,138481,2233,qcd_northbonvil_58,-30.3638,153.0055
4407,East Coast (South),East Coast (South),15,3,27.52,rare,2.5093,2008-03-24 14:55:00,2008-03-24 15:05:00,112382,1812,qcd_563041_231,-33.7686,150.1236
4445,East Coast (South),East Coast (South),20,1,30.5,frequent,14.5133,2001-01-17 22:15:00,2001-01-17 22:30:00,117769,1901,qcd_568004_231,-34.2872,150.7253
4446,East Coast (South),East Coast (South),20,1,32.85,frequent,14.7257,1978-03-19 22:45:00,1978-03-19 23:00:00,38101,497,qcd_060085,-31.3865,152.2482
