,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
LP3,full_data,10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
LP3,full_data,20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
LP3,full_data,50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
LP3,full_data,100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
LP3,data_case_1_0_1960_1970,10.0,30.61,21.77,50.85,71.12054884024829,166.12218229336818
LP3,data_case_1_0_1960_1970,20.0,37.46,25.87,73.49,69.0603310197544,196.18259476775225
LP3,data_case_1_0_1960_1970,50.0,46.63,30.28,124.85,64.93673600686253,267.746086210594
LP3,data_case_1_0_1960_1970,100.0,53.69,32.76,170.12,61.016949152542374,316.8560253306016
LP3,data_case_1_1_1970_1980,10.0,34.29,23.61,61.19,68.85389326334209,178.4485272674249
LP3,data_case_1_1_1970_1980,20.0,43.5,27.67,99.48,63.60919540229885,228.68965517241378
LP3,data_case_1_1_1970_1980,50.0,58.45,33.06,180.73,56.56116338751069,309.2044482463644
LP3,data_case_1_1_1970_1980,100.0,72.36,37.05,286.76,51.202321724709776,396.2962962962963
LP3,data_case_1_2_1980_1990,10.0,24.72,21.11,31.25,85.39644012944984,126.415857605178
LP3,data_case_1_2_1980_1990,20.0,27.09,22.67,37.89,83.68401624215578,139.8671096345515
LP3,data_case_1_2_1980_1990,50.0,29.88,24.09,48.24,80.62248995983936,161.44578313253012
LP3,data_case_1_2_1980_1990,100.0,31.81,24.79,58.11,77.93146809179504,182.6784030179189
