,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
GEV,full_data,2.0,15.73,13.61,18.05,86.52256834075015,114.7488874761602
GEV,full_data,5.0,23.99,20.71,28.63,86.32763651521468,119.3413922467695
GEV,full_data,10.0,30.18,25.35,38.45,83.99602385685884,127.40225314778
GEV,full_data,20.0,36.72,29.83,50.66,81.2363834422658,137.96296296296296
GEV,full_data,50.0,46.16,35.41,72.79,76.71143847487001,157.69064124783367
GEV,full_data,100.0,54.03,39.17,95.0,72.49676105867111,175.82824356838793
GEV,data_case_3_0_1961_1970,2.0,15.55,10.25,22.32,65.91639871382637,143.5369774919614
GEV,data_case_3_0_1961_1970,5.0,25.72,18.3,44.49,71.15085536547434,172.97822706065318
GEV,data_case_3_0_1961_1970,10.0,33.1,22.86,79.86,69.06344410876133,241.26888217522657
GEV,data_case_3_0_1961_1970,20.0,40.71,26.6,146.77,65.34021125030705,360.5256693687055
GEV,data_case_3_0_1961_1970,50.0,51.4,30.28,356.72,58.91050583657588,694.0077821011673
GEV,data_case_3_0_1961_1970,100.0,60.08,32.2,636.98,53.59520639147804,1060.219707057257
GEV,data_case_3_1_1971_1980,2.0,16.15,13.39,20.62,82.91021671826626,127.67801857585141
GEV,data_case_3_1_1971_1980,5.0,28.15,18.09,73.83,64.26287744227353,262.27353463587923
GEV,data_case_3_1_1971_1980,10.0,49.14,23.84,304.8,48.51444851444852,620.2686202686202
GEV,data_case_3_1_1971_1980,20.0,93.13,30.55,1278.5,32.80360785998067,1372.8121980027918
GEV,data_case_3_1_1971_1980,50.0,232.74,41.49,8900.82,17.82675947409126,3824.3619489559164
GEV,data_case_3_1_1971_1980,100.0,477.79,49.7,37108.57,10.402059482199292,7766.711316687247
GEV,data_case_3_2_1981_1990,2.0,18.74,15.69,21.57,83.7246531483458,115.10138740661687
GEV,data_case_3_2_1981_1990,5.0,22.05,20.19,25.19,91.56462585034015,114.24036281179139
GEV,data_case_3_2_1981_1990,10.0,23.17,21.87,29.31,94.38929650410012,126.49978420371168
GEV,data_case_3_2_1981_1990,20.0,23.81,22.77,34.23,95.63208735825285,143.76312473750525
GEV,data_case_3_2_1981_1990,50.0,24.29,23.24,41.26,95.67723342939482,169.8641416220667
GEV,data_case_3_2_1981_1990,100.0,24.48,23.36,47.76,95.42483660130719,195.09803921568627
