,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
LP3,full_data,2.0,15.66,13.56,18.14,86.59003831417624,115.83652618135376
LP3,full_data,5.0,24.14,20.68,28.55,85.66694283347141,118.26843413421706
LP3,full_data,10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
LP3,full_data,20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
LP3,full_data,50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
LP3,full_data,100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
LP3,data_case_2_0_1960_1969,2.0,13.62,9.34,19.88,68.57562408223201,145.9618208516887
LP3,data_case_2_0_1960_1969,5.0,23.68,16.81,36.15,70.98817567567566,152.66047297297297
LP3,data_case_2_0_1960_1969,10.0,31.29,21.69,54.7,69.31927133269416,174.8162352189198
LP3,data_case_2_0_1960_1969,20.0,39.17,25.89,83.32,66.0965024253255,212.71381159050293
LP3,data_case_2_0_1960_1969,50.0,50.14,30.69,139.89,61.20861587554846,278.99880335061823
LP3,data_case_2_0_1960_1969,100.0,58.92,32.96,209.87,55.940257976917856,356.1948404616429
LP3,data_case_2_1_1970_1979,2.0,18.5,14.63,23.81,79.08108108108108,128.7027027027027
LP3,data_case_2_1_1970_1979,5.0,27.95,20.66,42.48,73.91771019677996,151.98568872987477
LP3,data_case_2_1_1970_1979,10.0,35.97,24.83,66.5,69.02974701139838,184.876285793717
LP3,data_case_2_1_1970_1979,20.0,45.18,28.79,102.51,63.72288623284639,226.89243027888446
LP3,data_case_2_1_1970_1979,50.0,59.7,34.46,189.35,57.721943048576215,317.16917922948073
LP3,data_case_2_1_1970_1979,100.0,72.84,38.28,299.5,52.55354200988467,411.17517847336626
LP3,data_case_2_2_1980_1989,2.0,16.6,14.13,19.44,85.12048192771084,117.10843373493977
LP3,data_case_2_2_1980_1989,5.0,21.12,18.08,25.41,85.6060606060606,120.3125
LP3,data_case_2_2_1980_1989,10.0,23.9,20.2,31.28,84.51882845188285,130.8786610878661
LP3,data_case_2_2_1980_1989,20.0,26.44,21.9,37.87,82.82904689863842,143.22995461422084
LP3,data_case_2_2_1980_1989,50.0,29.58,23.41,47.75,79.14131169709263,161.4266396213658
LP3,data_case_2_2_1980_1989,100.0,31.86,24.21,56.73,75.98870056497175,178.060263653484
