ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,5.45,-26.55,11.49,-487.1559633027523,210.8256880733945
1.1,10.9,0.29,14.04,2.660550458715596,128.80733944954127
1.25,13.57,8.28,16.56,61.01694915254237,122.03389830508473
1.5,15.75,12.42,19.01,78.85714285714286,120.69841269841271
1.75,17.05,13.94,20.3,81.75953079178885,119.06158357771261
2.0,17.96,14.84,21.13,82.62806236080178,117.65033407572382
3.0,20.06,17.15,22.98,85.49351944167496,114.55633100697906
5.0,21.91,19.28,26.99,87.9963486992241,123.18575992697399
10.0,23.67,21.54,37.18,91.00126742712294,157.07646810308407
20.0,24.92,22.67,48.86,90.97110754414125,196.06741573033707
50.0,26.08,23.3,77.25,89.34049079754602,296.2039877300614
100.0,26.7,23.42,115.31,87.71535580524345,431.87265917602997
