ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
2.0,17.35,14.75,20.23,85.01440922190201,116.59942363112391
5.0,22.02,18.93,25.87,85.96730245231608,117.48410535876477
10.0,24.72,21.11,31.25,85.39644012944984,126.415857605178
20.0,27.09,22.67,37.89,83.68401624215578,139.8671096345515
50.0,29.88,24.09,48.24,80.62248995983936,161.44578313253012
100.0,31.81,24.79,58.11,77.93146809179504,182.6784030179189
