ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,0.89,-16.02,5.46,-1800.0,613.4831460674158
1.1,5.64,-2.53,9.5,-44.85815602836879,168.43971631205676
1.25,8.7,3.1,13.07,35.63218390804598,150.22988505747128
1.5,11.73,6.9,16.94,58.8235294117647,144.41602728047744
1.75,13.86,8.82,19.87,63.63636363636364,143.36219336219338
2.0,15.55,10.25,22.32,65.91639871382637,143.5369774919614
3.0,20.22,14.08,30.02,69.63402571711177,148.46686449060337
5.0,25.72,18.3,44.49,71.15085536547434,172.97822706065318
10.0,33.1,22.86,79.86,69.06344410876133,241.26888217522657
20.0,40.71,26.6,146.77,65.34021125030705,360.5256693687055
50.0,51.4,30.28,356.72,58.91050583657588,694.0077821011673
100.0,60.08,32.2,636.98,53.59520639147804,1060.219707057257
