ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,11.16,4.22,12.17,37.81362007168459,109.05017921146953
1.1,12.46,8.91,13.69,71.50882825040128,109.87158908507223
1.25,13.62,11.12,15.63,81.64464023494861,114.75770925110133
1.5,15.11,12.74,18.5,84.3150231634679,122.43547319655858
1.75,16.4,13.52,20.91,82.43902439024392,127.50000000000001
2.0,17.59,14.13,23.28,80.32973280272883,132.34792495736212
3.0,21.8,16.34,34.87,74.95412844036697,159.95412844036696
5.0,29.0,19.6,70.73,67.58620689655173,243.89655172413794
10.0,44.1,24.6,224.15,55.78231292517007,508.2766439909297
20.0,69.3,30.42,703.63,43.896103896103895,1015.3391053391053
50.0,130.59,38.37,3625.46,29.382035377900294,2776.21563672563
100.0,214.74,41.47,12921.54,19.311725807953803,6017.295333892148
