ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,2.04,-39.71,11.29,-1946.5686274509803,553.4313725490196
1.1,10.39,-3.29,14.9,-31.66506256015399,143.40712223291627
1.25,13.89,7.34,17.64,52.84377249820014,126.99784017278617
1.5,16.44,12.44,19.7,75.669099756691,119.82968369829683
1.75,17.83,14.5,20.85,81.32361189007293,116.93774537296692
2.0,18.74,15.69,21.57,83.7246531483458,115.10138740661687
3.0,20.63,18.21,23.11,88.26951042171595,112.02132816286961
5.0,22.05,20.19,25.19,91.56462585034015,114.24036281179139
10.0,23.17,21.87,29.31,94.38929650410012,126.49978420371168
20.0,23.81,22.77,34.23,95.63208735825285,143.76312473750525
50.0,24.29,23.24,41.26,95.67723342939482,169.8641416220667
100.0,24.48,23.36,47.76,95.42483660130719,195.09803921568627
