ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,7.96,3.67,11.33,46.10552763819096,142.33668341708542
1.1,11.35,8.06,14.01,71.01321585903084,123.43612334801763
1.25,13.37,10.69,15.98,79.9551234106208,119.52131637995512
1.5,15.23,12.63,17.96,82.92843072882468,117.92514773473407
1.75,16.44,13.88,19.24,84.42822384428223,117.03163017031628
2.0,17.35,14.75,20.23,85.01440922190201,116.59942363112391
3.0,19.65,16.84,22.63,85.6997455470738,115.16539440203563
5.0,22.02,18.93,25.87,85.96730245231608,117.48410535876477
10.0,24.72,21.11,31.25,85.39644012944984,126.415857605178
20.0,27.09,22.67,37.89,83.68401624215578,139.8671096345515
50.0,29.88,24.09,48.24,80.62248995983936,161.44578313253012
100.0,31.81,24.79,58.11,77.93146809179504,182.6784030179189
