Number,Deviate,Gauged_value
    1, -0.107389E+01,  0.118100E+02
    2, -0.665730E+00,  0.127400E+02
    3, -0.378712E+00,  0.130700E+02
    4, -0.126615E+00,  0.139400E+02
    5,  0.116694E+00,  0.146100E+02
    6,  0.366513E+00,  0.193100E+02
    7,  0.637062E+00,  0.202000E+02
    8,  0.947354E+00,  0.212600E+02
    9,  0.133123E+01,  0.213300E+02
   10,  0.186982E+01,  0.231000E+02
   11,  0.289934E+01,  0.233000E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.796000E+01,  0.367000E+01,  0.113300E+02
    2, -0.874591E+00,  0.113500E+02,  0.806000E+01,  0.140100E+02
    3, -0.475885E+00,  0.133700E+02,  0.106900E+02,  0.159800E+02
    4, -0.940478E-01,  0.152300E+02,  0.126300E+02,  0.179600E+02
    5,  0.165703E+00,  0.164400E+02,  0.138800E+02,  0.192400E+02
    6,  0.366513E+00,  0.173500E+02,  0.147500E+02,  0.202300E+02
    7,  0.902720E+00,  0.196500E+02,  0.168400E+02,  0.226300E+02
    8,  0.149994E+01,  0.220200E+02,  0.189300E+02,  0.258700E+02
    9,  0.225037E+01,  0.247200E+02,  0.211100E+02,  0.312500E+02
   10,  0.297020E+01,  0.270900E+02,  0.226700E+02,  0.378900E+02
   11,  0.390194E+01,  0.298800E+02,  0.240900E+02,  0.482400E+02
   12,  0.460015E+01,  0.318100E+02,  0.247900E+02,  0.581100E+02
Number,Deviate,Expected_probability_quantitle
    1, -0.136910E+01,  0.796000E+01
    2, -0.874591E+00,  0.113500E+02
    3, -0.475885E+00,  0.133700E+02
    4, -0.940478E-01,  0.152300E+02
    5,  0.156665E+00,  0.164400E+02
    6,  0.344615E+00,  0.173500E+02
    7,  0.873513E+00,  0.196500E+02
    8,  0.147498E+01,  0.220200E+02
    9,  0.226190E+01,  0.247200E+02
   10,  0.294473E+01,  0.270900E+02
   11,  0.353886E+01,  0.298800E+02
