ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,11.71,7.89,12.15,67.37830913748932,103.75747224594363
1.1,12.4,10.2,13.09,82.25806451612902,105.56451612903226
1.25,13.12,11.51,14.49,87.72865853658537,110.44207317073172
1.5,14.16,12.52,16.54,88.41807909604519,116.80790960451978
1.75,15.16,12.95,18.6,85.4221635883905,122.69129287598946
2.0,16.15,13.39,20.62,82.91021671826626,127.67801857585141
3.0,20.09,15.13,32.04,75.311100049776,159.48232951717273
5.0,28.15,18.09,73.83,64.26287744227353,262.27353463587923
10.0,49.14,23.84,304.8,48.51444851444852,620.2686202686202
20.0,93.13,30.55,1278.5,32.80360785998067,1372.8121980027918
50.0,232.74,41.49,8900.82,17.82675947409126,3824.3619489559164
100.0,477.79,49.7,37108.57,10.402059482199292,7766.711316687247
