ARI,flow_rate,lower_5,upper_95
1.01,7.96,3.67,11.33
1.1,11.35,8.06,14.01
1.25,13.37,10.69,15.98
1.5,15.23,12.63,17.96
1.75,16.44,13.88,19.24
2.0,17.35,14.75,20.23
3.0,19.65,16.84,22.63
5.0,22.02,18.93,25.87
10.0,24.72,21.11,31.25
20.0,27.09,22.67,37.89
50.0,29.88,24.09,48.24
100.0,31.81,24.79,58.11
