,ARI,AEP,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,10,43.59,23.56,228.64,54.049093828859824,524.5239733883918
1,20.0,5,75.03,29.72,856.33,39.61082233773158,1141.3168066106891
2,50.0,2,163.94,38.98,4945.85,23.7769915822862,3016.8659265584974
3,100.0,1,304.34,47.05,19695.77,15.459683248997832,6471.633699152265
