,ARI,AEP,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,10,44.1,24.6,224.15,55.78231292517007,508.2766439909297
1,20.0,5,69.3,30.42,703.63,43.896103896103895,1015.3391053391053
2,50.0,2,130.59,38.37,3625.46,29.382035377900294,2776.21563672563
3,100.0,1,214.74,41.47,12921.54,19.311725807953803,6017.295333892148
