,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,25.34,21.39,36.35,84.41199684293608,143.44909234411998
1,20.0,27.47,22.91,45.25,83.40007280669822,164.72515471423372
2,50.0,29.88,24.24,59.21,81.12449799196787,198.15930388219545
3,100.0,31.49,24.88,76.14,79.00920927278501,241.7910447761194
