,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,23.17,21.87,29.31,94.38929650410012,126.49978420371168
1,20.0,23.81,22.77,34.23,95.63208735825285,143.76312473750525
2,50.0,24.29,23.24,41.26,95.67723342939482,169.8641416220667
3,100.0,24.48,23.36,47.76,95.42483660130719,195.09803921568627
