ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,1.18,-14.89,5.53,-1261.864406779661,468.6440677966102
1.1,5.45,-2.27,8.97,-41.65137614678899,164.58715596330276
1.25,8.23,3.05,12.1,37.0595382746051,147.02308626974482
1.5,11.03,6.5,15.69,58.930190389845876,142.24841341795104
1.75,13.01,8.34,18.31,64.10453497309761,140.73789392774788
2.0,14.59,9.65,20.53,66.14119259766964,140.7128169979438
3.0,19.0,13.69,27.31,72.05263157894737,143.73684210526315
5.0,24.28,17.56,39.6,72.32289950576605,163.09719934102142
10.0,31.51,22.16,69.44,70.32688035544271,220.37448429070136
20.0,39.12,26.02,120.31,66.51329243353784,307.54089979550105
50.0,50.06,29.84,260.04,59.60846983619656,519.4566520175789
100.0,59.15,31.92,467.95,53.96449704142012,791.1242603550296
