,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
1,20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
2,50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
3,100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
