,ARI,AEP,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,10,34.29,23.61,61.19,68.85389326334209,178.4485272674249
1,20.0,5,43.5,27.67,99.48,63.60919540229885,228.68965517241378
2,50.0,2,58.45,33.06,180.73,56.56116338751069,309.2044482463644
3,100.0,1,72.36,37.05,286.76,51.202321724709776,396.2962962962963
