ARI,flow_rate,lower_5,upper_95
1.01,11.16,4.22,12.17
1.1,12.46,8.91,13.69
1.25,13.62,11.12,15.63
1.5,15.11,12.74,18.5
1.75,16.4,13.52,20.91
2.0,17.59,14.13,23.28
3.0,21.8,16.34,34.87
5.0,29.0,19.6,70.73
10.0,44.1,24.6,224.15
20.0,69.3,30.42,703.63
50.0,130.59,38.37,3625.46
100.0,214.74,41.47,12921.54
