ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,2.55,0.45,5.49,17.647058823529413,215.29411764705884
1.1,5.35,2.39,8.66,44.67289719626169,161.8691588785047
1.25,7.62,4.43,11.71,58.13648293963254,153.6745406824147
1.5,10.15,6.62,15.04,65.22167487684729,148.17733990147784
1.75,12.06,8.16,17.78,67.66169154228855,147.4295190713101
2.0,13.62,9.34,19.88,68.57562408223201,145.9618208516887
3.0,18.14,12.71,26.64,70.06615214994487,146.85777287761852
5.0,23.68,16.81,36.15,70.98817567567566,152.66047297297297
10.0,31.29,21.69,54.7,69.31927133269416,174.8162352189198
20.0,39.17,25.89,83.32,66.0965024253255,212.71381159050293
50.0,50.14,30.69,139.89,61.20861587554846,278.99880335061823
100.0,58.92,32.96,209.87,55.940257976917856,356.1948404616429
