ARI,flow_rate,lower_5,upper_95
1.01,4.68,3.01,6.22
1.1,7.86,6.29,9.32
1.25,10.14,8.56,11.76
1.5,12.54,10.75,14.51
1.75,14.28,12.31,16.51
2.0,15.66,13.56,18.14
3.0,19.55,16.88,22.74
5.0,24.14,20.68,28.55
10.0,30.25,25.51,37.66
20.0,36.43,29.81,48.1
50.0,44.88,34.93,65.3
100.0,51.57,38.69,81.23
