ARI,flow_rate,lower_5,upper_95
1.01,2.04,-39.71,11.29
1.1,10.39,-3.29,14.9
1.25,13.89,7.34,17.64
1.5,16.44,12.44,19.7
1.75,17.83,14.5,20.85
2.0,18.74,15.69,21.57
3.0,20.63,18.21,23.11
5.0,22.05,20.19,25.19
10.0,23.17,21.87,29.31
20.0,23.81,22.77,34.23
50.0,24.29,23.24,41.26
100.0,24.48,23.36,47.76
