,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,35.97,24.83,66.5,69.02974701139838,184.876285793717
1,20.0,45.18,28.79,102.51,63.72288623284639,226.89243027888446
2,50.0,59.7,34.46,189.35,57.721943048576215,317.16917922948073
3,100.0,72.84,38.28,299.5,52.55354200988467,411.17517847336626
