ARI,flow_rate,lower_5,upper_95
1.01,0.89,-16.02,5.46
1.1,5.64,-2.53,9.5
1.25,8.7,3.1,13.07
1.5,11.73,6.9,16.94
1.75,13.86,8.82,19.87
2.0,15.55,10.25,22.32
3.0,20.22,14.08,30.02
5.0,25.72,18.3,44.49
10.0,33.1,22.86,79.86
20.0,40.71,26.6,146.77
50.0,51.4,30.28,356.72
100.0,60.08,32.2,636.98
