ARI,flow_rate,lower_5,upper_95
1.01,8.42,-11.55,11.74
1.1,11.48,3.66,13.75
1.25,13.25,9.24,15.77
1.5,14.87,12.13,17.94
1.75,15.94,13.17,19.34
2.0,16.74,13.88,20.3
3.0,18.8,15.78,22.14
5.0,20.97,17.85,25.2
10.0,23.5,20.26,36.16
20.0,25.74,21.86,57.04
50.0,28.4,22.99,110.15
100.0,30.23,23.23,210.81
