ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,2.46,0.41,5.42,16.666666666666668,220.32520325203254
1.1,5.51,2.35,9.11,42.649727767695104,165.33575317604357
1.25,7.98,4.53,12.4,56.76691729323308,155.38847117794487
1.5,10.7,6.96,15.94,65.04672897196262,148.97196261682245
1.75,12.72,8.58,18.74,67.45283018867924,147.32704402515722
2.0,14.37,9.9,21.05,68.89352818371609,146.48573416840642
3.0,19.02,13.56,27.6,71.29337539432177,145.11041009463722
5.0,24.56,17.87,35.51,72.76058631921825,144.58469055374593
10.0,31.85,22.52,52.27,70.70643642072213,164.11302982731553
20.0,39.07,26.41,78.02,67.59662144868186,199.69285897107756
50.0,48.66,30.54,127.54,62.76202219482121,262.10439786272093
100.0,55.97,32.85,180.98,58.69215651241737,323.35179560478826
