,ARI,AEP,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,10,35.03,24.14,68.11,68.91236083357123,194.43334284898657
1,20.0,5,45.15,28.59,113.76,63.32225913621263,251.96013289036546
2,50.0,2,61.96,34.41,233.99,55.53582956746287,377.6468689477082
3,100.0,1,77.97,38.65,400.88,49.57034756957805,514.146466589714
