ARI,flow_rate,lower_5,upper_95
1.01,9.41,5.49,11.45
1.1,11.37,8.94,13.24
1.25,13.01,10.74,15.35
1.5,14.9,12.25,18.01
1.75,16.37,13.37,20.21
2.0,17.62,14.2,22.09
3.0,21.41,16.73,28.69
5.0,26.48,19.73,39.6
10.0,34.29,23.61,61.19
20.0,43.5,27.67,99.48
50.0,58.45,33.06,180.73
100.0,72.36,37.05,286.76
