ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,9.3,4.76,11.32,51.18279569892473,121.72043010752687
1.1,11.15,8.34,13.18,74.79820627802691,118.20627802690582
1.25,12.75,10.36,15.16,81.25490196078431,118.90196078431373
1.5,14.64,11.99,17.87,81.89890710382514,122.06284153005464
1.75,16.12,13.04,20.3,80.89330024813896,125.9305210918114
2.0,17.39,13.96,22.45,80.27602070155261,129.09718228867163
3.0,21.3,16.5,29.77,77.46478873239437,139.76525821596243
5.0,26.64,19.65,41.21,73.76126126126125,154.69219219219218
10.0,35.03,24.14,68.11,68.91236083357123,194.43334284898657
20.0,45.15,28.59,113.76,63.32225913621263,251.96013289036546
50.0,61.96,34.41,233.99,55.53582956746287,377.6468689477082
100.0,77.97,38.65,400.88,49.57034756957805,514.146466589714
