,ARI,AEP,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
0,10.0,10,33.1,22.86,79.86,69.06344410876133,241.26888217522657
1,20.0,5,40.71,26.6,146.77,65.34021125030705,360.5256693687055
2,50.0,2,51.4,30.28,356.72,58.91050583657588,694.0077821011673
3,100.0,1,60.08,32.2,636.98,53.59520639147804,1060.219707057257
