ARI,flow_rate,lower_5,upper_95
1.01,5.45,-26.55,11.49
1.1,10.9,0.29,14.04
1.25,13.57,8.28,16.56
1.5,15.75,12.42,19.01
1.75,17.05,13.94,20.3
2.0,17.96,14.84,21.13
3.0,20.06,17.15,22.98
5.0,21.91,19.28,26.99
10.0,23.67,21.54,37.18
20.0,24.92,22.67,48.86
50.0,26.08,23.3,77.25
100.0,26.7,23.42,115.31
