ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,9.0,4.52,11.54,50.222222222222214,128.22222222222223
1.1,11.43,8.22,13.83,71.91601049868767,120.99737532808399
1.25,13.34,10.62,16.16,79.61019490254873,121.13943028485757
1.5,15.49,12.45,19.21,80.3744351194319,124.01549386701097
1.75,17.13,13.6,21.67,79.3928779918272,126.50321074138938
2.0,18.5,14.63,23.81,79.08108108108108,128.7027027027027
3.0,22.6,17.39,30.8,76.94690265486726,136.28318584070794
5.0,27.95,20.66,42.48,73.91771019677996,151.98568872987477
10.0,35.97,24.83,66.5,69.02974701139838,184.876285793717
20.0,45.18,28.79,102.51,63.72288623284639,226.89243027888446
50.0,59.7,34.46,189.35,57.721943048576215,317.16917922948073
100.0,72.84,38.28,299.5,52.55354200988467,411.17517847336626
