ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,11.65,8.06,12.18,69.18454935622317,104.54935622317596
1.1,12.47,10.46,13.15,83.8813151563753,105.45308740978348
1.25,13.27,11.77,14.61,88.69630746043708,110.09796533534288
1.5,14.38,12.61,16.88,87.69123783031988,117.38525730180805
1.75,15.4,13.18,18.85,85.58441558441558,122.40259740259741
2.0,16.37,13.71,21.15,83.75076359193646,129.19975565058033
3.0,20.06,15.57,31.5,77.61714855433699,157.02891326021935
5.0,27.04,18.56,65.94,68.63905325443787,243.86094674556213
10.0,43.59,23.56,228.64,54.049093828859824,524.5239733883918
20.0,75.03,29.72,856.33,39.61082233773158,1141.3168066106891
50.0,163.94,38.98,4945.85,23.7769915822862,3016.8659265584974
100.0,304.34,47.05,19695.77,15.459683248997832,6471.633699152265
