1958,15.98
1959,48.16
1960,10.75
1961,7.01
1962,19.99
1963,32.97
1964,25.3
1965,8.79
1966,12.56
1967,17.2
1968,5.33
1969,18.26
1970,17.44
1971,12.14
1972,37.97
1973,33.45
1974,28.91
1975,16.96
1976,14.94
1977,16.46
1978,15.07
1979,12.61
1980,12.74
1981,14.61
1982,19.31
1983,21.26
1984,21.33
1985,13.07
1986,20.2
1987,11.81
1988,23.1
1989,13.94
1990,23.3
1991,19.19
1992,17.05
1993,6.85
1994,13.32
1995,7.81
1996,7.63
1997,7.11
