Number,Deviate,Gauged_value
    1, -0.107389E+01,  0.121400E+02
    2, -0.665730E+00,  0.126100E+02
    3, -0.378712E+00,  0.127400E+02
    4, -0.126615E+00,  0.149400E+02
    5,  0.116694E+00,  0.150700E+02
    6,  0.366513E+00,  0.164600E+02
    7,  0.637062E+00,  0.169600E+02
    8,  0.947354E+00,  0.174400E+02
    9,  0.133123E+01,  0.289100E+02
   10,  0.186982E+01,  0.334500E+02
   11,  0.289934E+01,  0.379700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.941000E+01,  0.549000E+01,  0.114500E+02
    2, -0.874591E+00,  0.113700E+02,  0.894000E+01,  0.132400E+02
    3, -0.475885E+00,  0.130100E+02,  0.107400E+02,  0.153500E+02
    4, -0.940478E-01,  0.149000E+02,  0.122500E+02,  0.180100E+02
    5,  0.165703E+00,  0.163700E+02,  0.133700E+02,  0.202100E+02
    6,  0.366513E+00,  0.176200E+02,  0.142000E+02,  0.220900E+02
    7,  0.902720E+00,  0.214100E+02,  0.167300E+02,  0.286900E+02
    8,  0.149994E+01,  0.264800E+02,  0.197300E+02,  0.396000E+02
    9,  0.225037E+01,  0.342900E+02,  0.236100E+02,  0.611900E+02
   10,  0.297020E+01,  0.435000E+02,  0.276700E+02,  0.994800E+02
   11,  0.390194E+01,  0.584500E+02,  0.330600E+02,  0.180730E+03
   12,  0.460015E+01,  0.723600E+02,  0.370500E+02,  0.286760E+03
Number,Deviate,Expected_probability_quantitle
    1, -0.136910E+01,  0.941000E+01
    2, -0.837955E+00,  0.113700E+02
    3, -0.437190E+00,  0.130100E+02
    4, -0.468536E-01,  0.149000E+02
    5,  0.209573E+00,  0.163700E+02
    6,  0.408815E+00,  0.176200E+02
    7,  0.931077E+00,  0.214100E+02
    8,  0.150441E+01,  0.264800E+02
    9,  0.219953E+01,  0.342900E+02
   10,  0.281271E+01,  0.435000E+02
   11,  0.349976E+01,  0.584500E+02
