Number,Deviate,Gauged_value
    1, -0.104141E+01,  0.121400E+02
    2, -0.616474E+00,  0.126100E+02
    3, -0.312528E+00,  0.149400E+02
    4, -0.406177E-01,  0.150700E+02
    5,  0.227740E+00,  0.164600E+02
    6,  0.511457E+00,  0.169600E+02
    7,  0.831678E+00,  0.174400E+02
    8,  0.122336E+01,  0.289100E+02
    9,  0.176828E+01,  0.334500E+02
   10,  0.280305E+01,  0.379700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.900000E+01,  0.452000E+01,  0.115400E+02
    2, -0.874591E+00,  0.114300E+02,  0.822000E+01,  0.138300E+02
    3, -0.475885E+00,  0.133400E+02,  0.106200E+02,  0.161600E+02
    4, -0.940478E-01,  0.154900E+02,  0.124500E+02,  0.192100E+02
    5,  0.165703E+00,  0.171300E+02,  0.136000E+02,  0.216700E+02
    6,  0.366513E+00,  0.185000E+02,  0.146300E+02,  0.238100E+02
    7,  0.902720E+00,  0.226000E+02,  0.173900E+02,  0.308000E+02
    8,  0.149994E+01,  0.279500E+02,  0.206600E+02,  0.424800E+02
    9,  0.225037E+01,  0.359700E+02,  0.248300E+02,  0.665000E+02
   10,  0.297020E+01,  0.451800E+02,  0.287900E+02,  0.102510E+03
   11,  0.390194E+01,  0.597000E+02,  0.344600E+02,  0.189350E+03
   12,  0.460015E+01,  0.728400E+02,  0.382800E+02,  0.299500E+03
Number,Deviate,Expected_probability_quantitle
    1, -0.136910E+01,  0.900000E+01
    2, -0.837955E+00,  0.114300E+02
    3, -0.437190E+00,  0.133400E+02
    4, -0.584066E-01,  0.154900E+02
    5,  0.200969E+00,  0.171300E+02
    6,  0.401897E+00,  0.185000E+02
    7,  0.927076E+00,  0.226000E+02
    8,  0.149994E+01,  0.279500E+02
    9,  0.220064E+01,  0.359700E+02
   10,  0.281571E+01,  0.451800E+02
